Name,Serving_Size,protein,Total_Fat,Sat_Fat,Trans_Fat,Cholesterols,Total_Carbs,Total_Sugars,Added_Sugars,Sodium
Veg Surprise Burger,132g,5.71g,14.95g,3.73g,0.14g,0.0mg,39.84g,5.66g,1.64g,504.19mg
McAloo Tikki Burger®,146g,8.50g,11.31g,4.27g,0.20g,1.47mg,50.27g,7.05g,4.07g,545.34mg
Dosa Masala Burger®,138g,5.66g,12.39g,4.22g,0.00g,0.00mg,51.52g,12.68g,6.40g,710.54mg
McVeggie®,168g,10.24g,13.83g,5.34g,0.16g,2.49mg,56.54g,7.90g,4.49g,706.13mg
McChicken®,173g,15.66g,15.70g,5.47g,0.16g,31.17mg,47.98g,5.53g,4.49g,766.33mg
Fillet-O-Fish®,136g,15.44g,14.16g,5.79g,0.21g,32.83mg,38.85g,5.58g,3.54g,530.54mg
McSpicy Paneer®,199g,20.29g,39.45g,17.12g,0.18g,21.85mg,52.33g,8.35g,5.27g,1074.58mg
McSpicy Chicken®,186g,21.46g,19.36g,7.63g,0.18g,66.04mg,46.08g,5.88g,4.49g,928.52mg
Spicy Paneer Wrap®,250g,20.96g,39.10g,19.73g,0.26g,40.93mg,59.278g,3.50g,1.08g,1087.46mg
Spicy Chicken Wrap®,257g,23.74g,26.89g,12.54g,0.27g,87.63mg,57.06g,2.52g,1.08g,1152.38mg
Veg Maharaja Mac®,306g,24.17g,37.94g,16.83g,0.28g,36.19mg,93.84g,11.52g,6.92g,1529.22mg
Chicken Maharaja Mac®,296g,34.00g,36.69g,10.33g,0.25g,81.49mg,55.39g,8.92g,6.14g,1854.71mg
McEgg®,115g,12.00g,10.00g,0.80g,0.10g,76.88mg,31.00g,5.00g,1.60g,675.00mg
Butter Paneer Grilled Burger,142g,12.85g,17.15g,8.29g,0.00g,6.62mg,44.12g,8.78g,5.08g,900.37mg
Butter Chicken Grilled Burger,153g,17.06g,14.41g,4.65g,0.00g,31.93mg,39.76g,6.55g,4.71g,919.59mg
Pizza McPuff®,87g,5.45g,11.44g,5.72g,0.09g,5.17mg,24.79g,2.73g,0.35g,390.74mg
Chicken McNuggets®,64g | 96g | 144g | 320g,10.03g | 15.04g | 22.56g | 47.60g | ,9.544g | 14.30g | 21.46g | 46.90g | ,4.45g | 6.68g | 10.02g | 21.11g | ,0.06g | 0.10g | 0.14g | 0.30g | ,24.66mg | 36.99mg | 55.48mg | 115.00mg | ,10.50g15.74g23.62g49.88g,0.32g | 0.48g | 0.72g | 1.70g | ,0.00g | 0.00g | 0.00g | 0.00g | ,313.25mg | 469.87mg | 704.81mg | 1490.00mg | 
